Time,Engine_Load,Engine_Speed,Vehicle_Speed,Ignition_Timing,Manifold_Relative_Pressure,Accelerator_Opening_Angle,Brake_Booster_Pressure
15.766,32.549,772.5,0,19.5,-0.551,0.0,255.106
15.899,31.765,779.25,0,19.5,-0.551,0.0,255.106
16.048,30.588,794.25,0,17.5,-0.541,0.0,255.106
16.199,29.804,813.25,0,15.0,-0.551,0.0,255.106
16.355,29.804,828.25,0,13.5,-0.551,0.0,255.106
16.501,28.235,838.0,0,12.5,-0.551,0.0,255.106
16.64,27.451,840.25,0,12.0,-0.561,0.0,255.106
16.793,27.451,841.25,0,13.0,-0.561,0.0,255.106
16.938,28.627,834.0,0,14.0,-0.571,0.0,255.106
17.099,27.451,823.25,0,14.5,-0.571,0.0,255.106
17.25,29.412,820.0,0,15.0,-0.571,0.0,255.106
17.42,28.627,820.25,0,14.5,-0.571,0.0,255.106
17.572,29.02,816.25,0,15.0,-0.561,0.0,255.106
17.745,29.804,815.0,0,16.0,-0.561,0.0,255.106
17.901,29.02,803.0,0,16.0,-0.561,0.0,255.106
18.068,28.235,805.0,0,15.5,-0.561,0.0,255.106
18.219,30.588,797.5,0,16.5,-0.561,0.0,255.106
18.379,30.588,800.0,0,15.0,-0.561,0.0,255.106
18.519,28.627,797.75,0,16.0,-0.561,0.0,255.106
18.655,30.196,798.25,0,15.5,-0.561,0.0,255.106
18.826,30.98,796.25,0,15.0,-0.561,0.0,255.106
18.969,28.235,792.25,0,16.0,-0.561,0.0,255.106
19.132,30.588,790.0,0,15.0,-0.561,0.0,255.106
19.302,31.373,796.5,0,15.0,-0.561,0.0,255.106
19.461,30.588,802.25,0,14.5,-0.561,0.0,255.106
19.6,28.235,804.5,0,14.0,-0.561,0.0,255.106
19.763,30.588,806.75,0,13.5,-0.561,0.0,255.106
19.935,30.588,799.75,0,14.5,-0.561,0.0,255.106
20.091,28.627,797.75,0,14.5,-0.561,0.0,255.106
20.232,29.412,800.5,0,14.5,-0.561,0.0,255.106
20.368,30.588,808.25,0,14.0,-0.561,0.0,255.106
20.518,28.235,807.75,0,14.5,-0.561,0.391,255.106
20.673,30.196,774.25,0,17.0,-0.561,5.469,255.106
20.839,54.118,664.75,0,21.5,-0.479,5.859,255.106
20.978,63.137,566.5,0,21.5,-0.418,5.859,255.106
21.118,86.667,449.75,0,20.5,-0.306,5.859,255.106
21.271,100.0,385.25,0,16.0,-0.163,6.25,255.106
21.428,65.49,724.0,0,15.5,-0.143,6.25,255.106
21.59,36.863,1178.0,0,26.5,-0.245,7.422,255.106
21.741,24.706,1592.25,0,36.0,-0.377,10.547,255.106
21.944,25.49,1830.0,0,39.0,-0.439,10.938,255.106
22.123,28.627,1699.25,0,39.5,-0.439,12.5,255.106
22.303,41.176,1492.75,3,35.5,-0.377,16.016,255.106
22.489,58.824,1334.25,4,27.5,-0.235,19.141,255.106
22.646,61.961,1300.5,5,22.5,-0.153,21.094,255.106
22.787,60.392,1311.25,6,20.5,-0.112,21.094,255.106
22.949,58.431,1299.0,7,19.5,-0.102,21.094,255.106
23.109,60.392,1227.25,9,18.0,-0.102,21.094,255.106
23.277,63.529,1173.0,10,17.5,-0.092,21.094,255.106
23.454,60.784,1322.0,12,19.5,-0.092,24.609,255.106
23.62,60.392,1428.5,13,19.5,-0.071,25.391,255.106
23.773,58.039,1567.75,14,21.0,-0.071,26.172,255.106
23.915,54.902,1698.0,15,22.0,-0.082,25.781,255.106
24.088,55.294,1820.0,16,22.0,-0.082,26.172,255.106
24.26,52.157,1973.25,18,23.5,-0.092,25.781,255.106
24.405,51.373,2078.0,19,24.0,-0.102,24.609,255.106
24.565,49.02,2231.25,20,25.5,-0.143,19.531,255.106
24.721,27.843,2290.0,21,31.0,-0.296,6.25,255.106
24.91,10.98,2297.75,21,13.5,-0.592,0.0,255.106
25.107,10.196,2306.5,21,12.5,-0.704,0.0,255.106
25.285,11.765,2158.0,21,4.5,-0.724,0.0,255.106
25.478,10.98,1981.0,21,22.0,-0.745,0.0,255.106
25.623,11.765,1804.25,21,27.5,-0.735,0.0,255.106
25.797,41.961,1540.25,21,27.5,-0.602,24.219,255.106
25.984,100.0,1438.0,21,12.5,-0.082,39.844,255.106
26.159,68.235,1416.0,22,18.5,-0.02,40.625,255.106
26.331,64.706,1523.75,23,18.5,-0.02,41.406,255.106
26.5,62.745,1570.0,23,18.0,-0.02,41.016,255.106
26.661,66.275,1589.25,24,17.5,-0.02,40.234,255.106
26.82,65.49,1667.75,25,18.0,-0.02,39.062,255.106
26.981,63.922,1713.0,26,18.0,-0.031,37.109,255.106
27.138,64.314,1741.0,27,18.0,-0.031,36.719,255.106
27.325,62.353,1822.0,28,18.5,-0.041,35.547,255.106
27.466,61.176,1846.5,28,19.0,-0.031,33.594,255.106
27.615,57.647,1884.5,29,19.5,-0.041,26.172,255.106
27.757,55.686,1945.0,29,21.0,-0.071,21.875,255.106
27.911,42.745,1979.75,30,24.5,-0.143,12.109,255.106
28.062,22.745,1988.25,31,32.0,-0.316,5.859,255.106
28.221,16.863,2016.0,30,40.5,-0.439,5.469,255.106
28.381,18.431,2008.25,31,44.5,-0.52,2.734,255.106
28.538,16.471,2021.5,31,47.0,-0.581,2.734,255.106
28.71,15.686,1991.0,30,47.0,-0.643,2.344,255.106
28.895,14.51,1991.75,30,47.0,-0.683,3.125,255.106
29.05,14.118,1976.0,30,47.0,-0.704,2.734,255.106
29.222,14.118,1954.0,30,47.0,-0.714,3.906,255.106
29.392,14.902,1947.0,29,47.0,-0.714,4.688,255.106
29.535,16.863,1919.25,29,47.0,-0.694,6.25,255.106
29.676,20.392,1908.0,29,47.0,-0.663,9.375,255.106
29.859,24.314,1956.5,29,45.0,-0.602,11.328,255.106
30.043,26.275,1931.25,29,42.0,-0.551,11.328,255.106
30.199,27.843,1931.75,29,40.5,-0.52,10.938,255.106
30.355,27.451,1952.75,29,39.5,-0.5,11.328,255.106
30.51,28.235,1955.25,29,39.5,-0.479,11.328,255.106
30.66,27.843,1974.75,30,39.0,-0.469,11.719,255.106
30.835,28.627,1968.75,30,39.0,-0.459,11.328,255.106
30.999,28.627,1989.5,30,38.5,-0.449,11.328,255.106
31.141,29.02,1981.25,30,38.5,-0.449,11.328,255.106
31.301,26.667,2013.75,30,39.0,-0.459,10.547,255.106
31.475,23.137,2015.75,30,40.5,-0.49,8.984,255.106
31.635,22.353,2004.0,31,42.0,-0.53,8.984,255.106
31.805,22.353,2018.0,31,43.0,-0.551,9.375,255.106
31.978,23.529,2046.75,31,42.5,-0.551,9.375,255.106
32.133,23.137,2034.75,31,42.5,-0.561,9.375,255.106
32.31,23.137,2043.5,31,42.5,-0.561,9.375,255.106
32.443,23.529,2026.5,31,42.5,-0.561,9.375,255.106
32.607,23.137,2048.75,31,42.5,-0.561,9.766,255.106
32.763,23.922,2034.5,31,42.5,-0.561,9.375,255.106
32.939,22.745,2039.0,31,43.0,-0.571,9.375,255.106
33.098,22.745,2053.5,31,43.0,-0.571,9.375,255.106
33.239,23.529,2043.25,31,43.0,-0.571,9.766,255.106
33.38,24.314,2039.25,31,42.5,-0.561,11.328,255.106
33.54,30.98,2070.5,31,40.5,-0.52,13.281,255.106
33.712,33.333,2088.75,31,37.0,-0.449,14.062,255.106
33.895,32.549,2079.25,31,35.5,-0.388,14.062,255.106
34.087,34.118,2094.25,32,35.5,-0.357,14.062,255.106
34.23,32.157,2115.75,32,35.5,-0.357,13.672,255.106
34.39,32.549,2113.5,32,36.0,-0.357,13.672,255.106
34.531,32.941,2125.0,32,36.0,-0.357,14.062,255.106
34.689,32.549,2155.75,33,36.0,-0.367,14.062,255.106
34.844,37.255,2178.0,33,35.0,-0.337,16.016,255.106
35.013,38.824,2199.75,33,33.0,-0.306,16.016,255.106
35.17,36.471,2204.5,34,33.5,-0.306,16.016,255.106
35.342,36.471,2246.25,34,33.5,-0.316,15.625,255.106
35.52,36.471,2273.0,34,34.0,-0.326,15.234,255.106
35.682,34.51,2298.75,35,35.0,-0.347,15.234,255.106
35.84,33.333,2319.0,35,35.0,-0.357,14.844,255.106
36.02,33.333,2339.0,35,35.5,-0.357,14.844,255.106
36.195,33.725,2354.0,36,36.0,-0.367,14.844,255.106
36.346,30.98,2360.5,36,37.0,-0.388,14.062,255.106
36.496,30.98,2377.25,36,37.0,-0.388,14.062,255.106
36.652,29.804,2399.25,36,38.0,-0.418,12.891,255.106
36.812,28.235,2399.25,36,39.0,-0.439,12.5,255.106
36.99,27.843,2409.75,37,39.5,-0.459,12.5,255.106
37.156,26.667,2434.5,37,40.5,-0.49,11.719,255.106
37.297,25.098,2455.75,37,41.0,-0.51,11.719,255.106
37.483,22.745,2455.75,37,42.5,-0.551,2.734,255.106
37.644,18.431,2471.25,37,39.5,-0.602,0.0,255.106
37.813,16.471,2446.0,37,33.5,-0.653,0.0,255.106
37.971,14.51,2458.75,37,27.0,-0.683,0.0,255.106
38.128,12.157,2461.0,37,24.0,-0.724,0.0,255.106
38.32,10.98,2445.0,37,24.0,-0.755,0.0,255.106
38.489,11.373,2401.0,37,24.0,-0.755,0.0,255.106
38.643,11.373,2430.25,37,24.0,-0.755,0.0,255.106
38.814,11.765,2379.25,36,24.0,-0.765,0.0,255.106
38.974,11.765,2383.5,36,24.0,-0.765,0.0,255.106
39.131,11.765,2371.25,36,24.0,-0.765,0.0,255.106
39.285,11.765,2341.0,36,24.0,-0.755,0.0,255.106
39.442,11.373,2321.0,35,24.0,-0.755,0.0,255.106
