Time,Ignition_Timing,Differential_Pressure_Sensor_Voltage,Knock_Correction,Fuel_Temperature,Secondary_Wastegate_Duty_Cycle,Idle_Speed_Control_Valve_Step,Intake_VVT_Advance_Angle_Left
6.716,-38.5,0.66,62.0,-30,43.922,4,107
6.774,-38.5,0.66,62.0,-30,43.922,4,107
6.832,-38.5,0.66,62.0,-30,43.922,4,107
6.89,-38.5,0.66,62.0,-30,43.922,4,107
6.949,-38.5,0.66,62.0,-30,43.922,4,107
7.007,-38.5,0.66,62.0,-30,43.922,4,107
7.065,-38.5,0.66,62.0,-30,43.922,4,107
7.122,-38.5,0.66,62.0,-30,43.922,4,107
7.181,-38.5,0.66,62.0,-30,43.922,4,107
7.239,-38.5,0.66,62.0,-30,43.922,4,107
7.297,-38.5,0.66,62.0,-30,43.922,4,107
7.355,-38.5,0.66,62.0,-30,43.922,4,107
7.413,-38.5,0.66,62.0,-30,43.922,4,107
7.471,-38.5,0.66,62.0,-30,43.922,4,107
7.529,-38.5,0.66,62.0,-30,43.922,4,107
7.587,-38.5,0.66,62.0,-30,43.922,4,107
7.645,-38.5,0.66,62.0,-30,43.922,4,107
7.703,-38.5,0.66,62.0,-30,43.922,4,107
7.762,-38.5,0.66,62.0,-30,43.922,4,107
7.82,-38.5,0.66,62.0,-30,43.922,4,107
7.879,-38.5,0.66,62.0,-30,43.922,4,107
7.937,-38.5,0.66,62.0,-30,43.922,4,107
7.995,-38.5,0.66,62.0,-30,43.922,4,107
8.053,-38.5,0.66,62.0,-30,43.922,4,107
8.11,-38.5,0.66,62.0,-30,43.922,4,107
8.168,-38.5,0.66,62.0,-30,43.922,4,107
8.227,-38.5,0.66,62.0,-30,43.922,4,107
8.285,-38.5,0.66,62.0,-30,43.922,4,107
8.343,-38.5,0.66,62.0,-30,43.922,4,107
8.401,-38.5,0.66,62.0,-30,43.922,4,107
8.459,-38.5,0.66,62.0,-30,43.922,4,107
8.517,-38.5,0.66,62.0,-30,43.922,4,107
8.576,-38.5,0.66,62.0,-30,43.922,4,107
8.634,-38.5,0.66,62.0,-30,43.922,4,107
8.692,-38.5,0.66,62.0,-30,43.922,4,107
8.75,-38.5,0.66,62.0,-30,43.922,4,107
8.808,-38.5,0.66,62.0,-30,43.922,4,107
8.866,-38.5,0.66,62.0,-30,43.922,4,107
8.924,-38.5,0.66,62.0,-30,43.922,4,107
8.982,-38.5,0.66,62.0,-30,43.922,4,107
9.04,-38.5,0.66,62.0,-30,43.922,4,107
9.099,-38.5,0.66,62.0,-30,43.922,4,107
9.157,-38.5,0.66,62.0,-30,43.922,4,107
9.216,-38.5,0.66,62.0,-30,43.922,4,107
9.274,-38.5,0.66,62.0,-30,43.922,4,107
9.332,-38.5,0.66,62.0,-30,43.922,4,107
9.391,-38.5,0.66,62.0,-30,43.922,4,107
9.448,-38.5,0.66,62.0,-30,43.922,4,107
9.507,-38.5,0.66,62.0,-30,43.922,4,107
